Cenario 1,Grupo,Geração 0,Geração 1,Geração 2,Geração 3,Geração 4,Geração 5,Geração 6,Geração 7,Geração 8,Geração 9,Geração 10,Geração 11,Geração 12
N=4,1,2,2,2,2,2,2,2,1,1,2,0,0,0
p=1/2,2,2,1,0,0,0,0,0,0,0,0,0,0,0
,3,2,2,2,0,0,0,0,0,0,0,0,0,0
,4,2,1,0,0,0,0,0,0,0,0,0,0,0
,5,2,1,1,1,2,3,3,4,4,4,4,4,4
,6,2,4,4,4,4,4,4,4,4,4,4,4,4
,7,2,3,3,4,4,4,4,4,4,4,4,4,4
,8,2,3,4,4,4,4,4,4,4,4,4,4,4
,9,2,2,1,2,1,0,0,0,0,0,0,0,0
,10,2,2,3,2,2,3,2,1,1,0,0,0,0
,11,2,2,3,3,0,0,0,0,0,0,0,0,0
,12,2,3,2,2,2,3,3,2,2,2,2,2,3
,13,2,3,4,4,4,4,4,4,4,4,4,4,4
,14,2,1,1,2,3,4,4,4,4,4,4,4,4
,15,2,2,3,4,4,4,4,4,4,4,4,4,4
,16,2,2,1,2,3,2,3,3,3,2,3,3,4
,17,2,2,2,1,1,1,1,2,1,0,0,0,0
,18,2,2,1,1,2,2,2,2,3,4,4,4,4
,19,2,2,1,0,0,0,0,0,0,0,0,0,0
,20,2,2,2,0,0,0,0,0,0,0,0,0,0
,21,2,1,1,1,1,2,2,3,3,3,4,4,4
,22,2,2,0,0,0,0,0,0,0,0,0,0,0
,23,2,3,3,3,4,4,4,4,4,4,4,4,4
,24,2,1,3,3,3,4,4,4,4,4,4,4,4
,25,2,2,1,3,4,4,4,4,4,4,4,4,4
,26,2,2,1,2,1,1,0,0,0,0,0,0,0
,27,2,2,0,0,0,0,0,0,0,0,0,0,0
,28,2,2,2,3,4,4,4,4,4,4,4,4,4
,29,2,2,2,0,0,0,0,0,0,0,0,0,0
,30,2,1,3,3,3,3,3,2,2,4,4,4,4
,31,2,1,0,0,0,0,0,0,0,0,0,0,0
,32,2,1,0,0,0,0,0,0,0,0,0,0,0
,33,2,1,0,0,0,0,0,0,0,0,0,0,0
,34,2,2,3,4,4,4,4,4,4,4,4,4,4
,35,2,3,3,3,4,4,4,4,4,4,4,4,4
